Manufacturer Part Number	Quantity	Description	Manufacturer	Designator

"CR2032"	"1"	"Battery Lithium 3V Coin 20mm"	"Panasonic BSG"	"BT1"
"CGA3E2C0G1H060D080AA"	"2"	"Cap 0603 Case Ceramic 6pF 50V C0G"	"TDK"	"C1, C2"
"C1608X7S1A475K080AC"	"6"	"Cap 0603 Case Ceramic 4.7uF 10V X7S"	"TDK"	"C3, C8, C10, C11, C14, C20"
"CGA3E2X7R1H104K080AA"	"9"	"Cap 0603 Case Ceramic 100nF 50V X7R"	"TDK"	"C4, C6, C7, C9, C12, C15, C16, C18, C19"
"EEE-FK1H220P"	"1"	"Cap Electrolytic Alu 22uF 50V 20% 165mA 2000h 105C Automotive, Case D"	"Panasonic"	"C5"
"CL32B106KBJNNWE"	"1"	"Cap 1210 Case Ceramic 10uF 50V X7R 10%"	"Samsung"	"C13"
"EEE-FK1C471P"	"1"	"Cap Electrolytic Alu 470uF 16V 20% (10 X 10.2mm) SMD 600mA 2000h 105C Automotive T/R"	"Panasonic"	"C17"
"ZLLS400QTC"	"1"	"Diode Schottky 40V 0.5A, Vf 480mV, 2-Pin SOD323"	"Diodes Incorporated"	"D1"
"BAT5405E6327HTSA1"	"1"	"Diode Schottky, Common cathode, 40V 0.3A 3-Pin SOT-323"	"Infineon Technologies"	"D2"
"MC096VW"	"1"	"Oled Module, 0.96inch, I2C Interface"	"Hiletgo"	"DP1"
""	"3"	"Fiducial 1.0mm Diameter, 2.0mmil Mask"	""	"FID1, FID2, FID3"
"DRV5023AJQLPG"	"2"	"Hall Effect/Magnetic Sensors 2.5 to 38 V 3-TO-92"	"Texas Instruments"	"HA1, HA2"
"XHP-2"	"1"	"Conn Crimp Housing, Series JST XH, 2 Circuits"	"JST"	"HS1"
"XHP-3"	"3"	"Conn Crimp Housing, Series JST XH, 3 Circuits"	"JST"	"HS2, HS3, HS4"
"XHP-6"	"2"	"Conn Crimp Housing, Series JST XH, 6 Circuits"	"JST"	"HS5, HS6"
"SSQ-104-01-T-S"	"1"	"Conn Post Socket Header Vert - 1 Row - 4 Pos - 3 mm Lenght - Tin"	"Samtec"	"J1"
"22-28-4043"	"1"	"Breakaway Header Vert - 1 Row - 4 Pos - 6 mm Lenght - Gold"	"Molex"	"J2"
"B2B-XH-A(LF)(SN)"	"1"	"Conn Shrouded, Series JST XH, 2 Pos Header,(2.50mm) Through Hole, Vertical Tin"	"JST"	"J3"
"B3B-XH-A(LF)(SN)"	"3"	"Conn Shrouded, Series JST XH, 3 Pos Header,(2.50mm) Through Hole, Vertical Tin"	"JST"	"J4, J5, J6"
"B6B-XH-A(LF)(SN)"	"2"	"Conn Shrouded, Series JST XH, 6 Pos Header, (2.50mm) Through Hole, Vertical Tin"	"JST"	"J7, J8"
"67068-8000"	"1"	"Conn USB Type B Right-Angle, Kinked Solder Tabs"	"Molex"	"J9"
"LQH43CN100K03L"	"1"	"Inductor Power LQH43CN Series, 10uH, 0.65 A, 0.24 ohm, SMD"	"Murata"	"L1"
"LTST-C170KFKT"	"3"	"LED 0805 Top Orange 605nm 2-Pin"	"Vishay Lite-On"	"LD1, LD2, LD3"
